"","Tool","Cutoff","Rank","Value","OriginalValue","TP","FN","FP","TN","Precision","Recall","F1score","TPR","TNR","FPR"
"575","Tombo_denovo",1574150.48989466,277457,0.2500005,0.25,3853,2153,1570297,2568491,0.00244767017120351,0.440488565488565,0.00486828864157664,0.641525141525142,0.593430404825301,0.406569595174699
"576","Tombo_denovo",1708682.8371757,303371,0.2422005156,0.2422,4054,2074,1704628,2568491,0.00237258893111767,0.461018711018711,0.00472088229071006,0.661553524804178,0.570705176813625,0.429294823186375
"577","Tombo_denovo",1854712.78432481,331335,0.2353005294,0.2353,4308,1975,1850404,2568464,0.00232273258597561,0.486746361746362,0.00462340249521097,0.685659716695846,0.547426224568461,0.452573775431539
"578","Tombo_denovo",2013222.95600736,362349,0.2279005442,0.2279,4593,1878,2008629,2568464,0.0022814175485863,0.511954261954262,0.00454259198204674,0.709782104775151,0.523558783757019,0.476441216242981
"579","Tombo_denovo",2185279.95539239,396460,0.2207005586,0.2207,4883,1787,2180396,2568438,0.00223449728844692,0.535602910602911,0.00445042770869607,0.73208395802099,0.499175627421264,0.500824372578736
"580","Tombo_denovo",2372041.54124611,434065,0.2133005734,0.2133,5174,1682,2366867,2568438,0.00218124391610432,0.562889812889813,0.00434564809156279,0.754667444574096,0.474324634660633,0.525675365339367
"581","Tombo_denovo",2574764.41840466,475033,0.2059005882,0.2059,5514,1571,2569250,2568412,0.00214155549790194,0.591735966735967,0.00426766585845185,0.778263937896965,0.449133536420115,0.550866463579885
"582","Tombo_denovo",2794812.69404752,519894,0.1986006028,0.1986,5838,1473,2788974,2568412,0.00208887037840112,0.617203742203742,0.004163649261541,0.798522773902339,0.423639951195963,0.576360048804037
"583","Tombo_denovo",3033667.05667343,569099,0.1911006178,0.1911,6213,1371,3027454,2568373,0.00204801647642935,0.643711018711019,0.00408304243701866,0.819224683544304,0.397916391142524,0.602083608857476
"584","Tombo_denovo",3292934.73954329,623237,0.183500633,0.1835,6599,1279,3286335,2568373,0.00200398793294976,0.667619542619543,0.00399598116304883,0.837649149530338,0.372012058585341,0.62798794141466
"585","Tombo_denovo",3574360.33563333,681656,0.176000648,0.176,7080,1150,3567280,2568340,0.0019807741805526,0.701143451143451,0.00395038826673487,0.860267314702309,0.346142940226906,0.653857059773094
"586","Tombo_denovo",3879837.53687168,745900,0.1681006638,0.1681,7575,1026,3872262,2568340,0.00195240160862428,0.733367983367983,0.00389443529567522,0.880711545169166,0.320248654193933,0.679751345806067
"587","Tombo_denovo",4211421.87665064,815641,0.160500679,0.1605,8086,902,4203335,2568308,0.00192001702038338,0.765592515592516,0.00383042777324169,0.899643969737428,0.294508074830229,0.705491925169771
"588","Tombo_denovo",4571344.56135815,891779,0.1528006944,0.1528,8651,774,4562693,2568308,0.00189244126016331,0.798856548856549,0.00377593756012719,0.917877984084881,0.268959582424946,0.731040417575054
"589","Tombo_denovo",4962027.48399986,974073,0.1448007104,0.1448,9281,657,4952746,2568280,0.00187040497764321,0.829261954261954,0.00373239152531795,0.933890118736164,0.24377163694352,0.75622836305648
"590","Tombo_denovo",5386099.5209372,1062836,0.1369007262,0.1369,9925,557,5376174,2568280,0.00184270656740621,0.85524948024948,0.0036774896755958,0.94686128601412,0.219041125102192,0.780958874897807
"591","Tombo_denovo",5846414.22140111,1158389,0.1288007424,0.1288,10601,478,5835813,2568248,0.00181324825782095,0.875779625779626,0.00361900358961262,0.95685531185125,0.194869487693773,0.805130512306226
"592","Tombo_denovo",6346069.00881281,1261291,0.1206007588,0.1206,11306,382,6334763,2568248,0.00178157533427386,0.900727650727651,0.00355611692178916,0.96731690622861,0.171328136640348,0.828671863359652
